Receipt #,Physical Business Location,Account #,Owner Address Name,Business Name,Business Address,Category Code,Category Name,Mailing Address Name,Mailing Address Line 1,Mailing Address Line 2,Mailing Address City,Mailing Address State,Mailing Address ZIP,Number of Units,Account Status,Balance Status,Date Paid In Full,Exemption Code,Exemption Description,Business Phone,RE Account Number,Tangible Account Number,Custom Flags,Business Start Date,Year,Class Code,Class Name
286021,06 - NORTH MIAMI,286021,NANI LLC C/O SIMON SULTAN MGR,$1.50 CAR WASH,"11975 NW 7 AVE NORTH MIAMI, FL 33168 ",SAM,SERVICE / AMUSEMENT MACHINE,NANI LLC C/O SIMON SULTAN MGR,19950 W. COUNTRY CLUB DR 904,,AVENTURA,FL,33180,4,Active,Unpaid,,-- None --,-- None --,347-993-1023,06-2125-018-0300,,-- None --,8/24/88,2017,221,"Vending, service & amusement machines"
7464008,34 - MIAMI GARDENS,7183371,WILSON MELO,$6.99 & UP SHOE STORE,"17560 NW 27 AVE #112 MIAMI GARDENS, FL 33056 ",RET-STR,RETAIL SALES,WILSON MELO,17560 NW 27 AVE #112,,MIAMI GARDENS,FL,33056,1,Closed,Unpaid,,-- None --,-- None --,305-974-2617,,,Enforcement,3/24/15,2017,214,Retail sales
7465129,20 - PINECREST,7184390,*1 ALADDIN PARTY RENTAL INC C/O ANAIS PAREDES PRES,*1 ALADDIN PARTY RENTAL INC,"9703 S DIXIE HWY 204G PINECREST, FL 33156 US",SER-REN,SERVICE BUSINESS,*1 ALADDIN PARTY RENTAL INC C/O ANAIS PAREDES PRES,9703 S DIXIE HWY 204G,,PINECREST,FL,33156,1,Active,Unpaid,,-- None --,-- None --,305-305-7486,,,-- None --,4/16/15,2017,213,Service business/multiple service business or Passenger transportation services
6585450,30 - UNIN DADE COUNTY,6319016,HERMAN L DE ANNA OD PA,#NAME?,"8020 CORAL WAY MIAMI, FL 33155 ",ASS,P.A./CORP/PARTNERSHIP/FIRM,HERMAN L DE ANNA OD PA HERMAN DE ANNA,8020 CORAL WAY,,MIAMI,FL,33155,2,Active,Paid In Full,9/30/16,-- None --,-- None --,786-517-6127,01-3207-019-0010,,-- None --,10/1/08,2017,212,"Professions, professional associations"
785585,01 - MIAMI,6364947,"0 18 LLC C/O MANUEL FUENMAYOR, MGR",0 18 LLC,"201 NW 47 AVE MIAMI, FL 33126 ",APT,APARTMENTS,"0 18 LLC C/O MANUEL FUENMAYOR, MGR",8798 SW 8 ST,,MIAMI,FL,33174,12,Active,Paid In Full,9/30/16,-- None --,-- None --,305-000-0000,,,-- None --,1/23/09,2017,192,"Hotels, apartments, motels, etc. or Commercial, industrial or office space"
7455270,30 - UNIN DADE COUNTY,7175672,"0-STRESS MEDICAL HEALTH CARE CTR INC C/O DORA DEL CARMEN DIAZ, PRESIDENT",0-STRESS MEDICAL HEALTH CARE CENTER INC,"8824 SW 24 ST MIAMI, FL 33165 ",ASS,P.A./CORP/PARTNERSHIP/FIRM,"0-STRESS MEDICAL HEALTH CARE CTR INC C/O DORA DEL CARMEN DIAZ, PRESIDENT",8824 SW 24 ST,,MIAMI,FL,33165,5,Active,Unpaid,,-- None --,-- None --,,,,-- None --,9/24/14,2017,212,"Professions, professional associations"
6323984,27 - HIALEAH GARDENS,6062186,004 INC,004 INC,"8726 NW 119 ST BAY8 HIALEAH GARDENS, FL 33016 ",RET-STR,RETAIL SALES,004 INC ERIC DENIS PRES,8726 NW 119 ST BAY8,,HIALEAH GARDENS,FL,33016,1,Active,Paid In Full,8/14/16,-- None --,-- None --,305-821-9484,27-2033-002-0220,,-- None --,7/1/07,2017,214,Retail sales
6326367,27 - HIALEAH GARDENS,6062186,004 INC,004 INC,"8726 NW 119 ST BAY8 HIALEAH GARDENS, FL 33016 ",DLR-WHO,TANGIBLE PERSONAL PROP DLR,004 INC ERIC DENIS PRES,8726 NW 119 ST BAY8,,HIALEAH GARDENS,FL,33016,1,Active,Paid In Full,8/14/16,-- None --,-- None --,305-821-9484,27-2033-002-0220,,-- None --,7/1/07,2017,220,Dealer in tangible personal property
7176977,01 - MIAMI,6901293,004 INC,004 INC,"2412 N MIAMI AVE MIAMI, FL 33137 ",DLR-ANT,TANGIBLE PERSONAL PROP DLR,004 INC ERIC DENIS PRES,2412 N MIAMI AVE,,MIAMI,FL,33137,1,Active,Paid In Full,7/12/16,-- None --,-- None --,305-849-8585,01-3125-037-0020,,-- None --,11/1/11,2017,220,Dealer in tangible personal property
6153787,27 - HIALEAH GARDENS,5899472,011 CONEXION CORP,011 CONEXION CORP,"10107 W OKEECHOBEE RD HIALEAH GARDENS, FL 33016 ",RET-STR,RETAIL SALES,011 CONEXION CORP RENE A RIVERO  PRES,10107 W OKEECHOBEE RD,,HIALEAH GARDENS,FL,33016,2,Closed,Unpaid,,-- None --,-- None --,786-382-6626,27-3003-001-0371,40-200842,-- None --,10/1/06,2017,214,Retail sales
6153779,27 - HIALEAH GARDENS,5899472,011 CONEXION CORP,011 CONEXION CORP,"10107 W OKEECHOBEE RD HIALEAH GARDENS, FL 33016 ",COM-LON,COMMUNICATION BUSINESS,011 CONEXION CORP RENE A RIVERO  PRES,10107 W OKEECHOBEE RD,,HIALEAH GARDENS,FL,33016,,Closed,Unpaid,,-- None --,-- None --,786-382-6626,27-3003-001-0371,40-200842,-- None --,10/1/06,2017,217,Local exchange telecommunication company or Communication businesses
5956959,04 - HIALEAH,5711685,011 CONEXION CORP INC,011 CONEXION CORP INC,"1175 W 29 ST HIALEAH, FL 33012 ",RET-STR,RETAIL SALES,011 CONEXION CORP INC RENE A RIVERO,10107 W OKEECHOBEE RD,,HIALEAH,FL,33016,3,Active,Paid In Full,9/21/16,-- None --,-- None --,786-382-6626,04-3012-016-0490,,-- None --,1/1/06,2017,214,Retail sales
7037948,04 - HIALEAH,5711685,011 CONEXION CORP INC,011 CONEXION CORP INC,"1175 W 29 ST HIALEAH, FL 33012 ",TRA,SELLER OF TRAVEL,011 CONEXION CORP INC RENE A RIVERO,10107 W OKEECHOBEE RD,,HIALEAH,FL,33016,2,Active,Paid In Full,9/19/16,-- None --,-- None --,786-382-6626,04-3012-016-0490,,-- None --,1/1/06,2017,220,Dealer in tangible personal property
5956942,04 - HIALEAH,5711685,011 CONEXION CORP INC,011 CONEXION CORP INC,"1175 W 29 ST HIALEAH, FL 33012 ",COM-LON,COMMUNICATION BUSINESS,011 CONEXION CORP INC RENE A RIVERO,10107 W OKEECHOBEE RD,,HIALEAH,FL,33016,,Active,Paid In Full,9/19/16,-- None --,-- None --,786-382-6626,04-3012-016-0490,,-- None --,1/1/06,2017,217,Local exchange telecommunication company or Communication businesses
6563473,30 - UNIN DADE COUNTY,6297527,ROJO ALEX,1 2 3 FIXED,"OPERATING IN DADE COUNTY MIAMI, FL 33999 ",SER-SNR,SERVICE BUSINESS,ROJO ALEX ALEX ROJO,6028 SW 35 ST,,MIAMI,FL,33155,1,Active,Unpaid,,-- None --,-- None --,786-385-2323,,,"Enforcement, Mobile Business",10/1/08,2017,213,Service business/multiple service business or Passenger transportation services
5229349,88 - COMMERCIAL LESSORS,5008024,1 3 2 PLAZA BUILDING LLC,1 3 2 PLAZA BUILDING LLC,"MUNICIPALITIES LOC COMMERCIAL LESSORS, FL 33888 ",LES,COMMERCL/INDUST/OFFICE SPACE,1 3 2 PLAZA BUILDING LLC KENNETH FLEISHER  MANAGER,5944 CORAL RIDGE DR  #145,,CORAL SPRINGS,FL,33076,12047,Active,Paid In Full,7/26/16,-- None --,-- None --,954-341-8730,20-5015-000-0511,,-- None --,4/1/02,2017,192,"Hotels, apartments, motels, etc. or Commercial, industrial or office space"
5798732,88 - COMMERCIAL LESSORS,5558524,1 4 7 REALTY CORP,1 4 7 REALTY CORP,"MUNICIPALITIES LOC COMMERCIAL LESSORS, FL 33888 ",LES,COMMERCL/INDUST/OFFICE SPACE,1 4 7 REALTY CORP JEFFREY COHEN,880 LAKEVIEW DR,,MIAMI BEACH,FL,33140,7365,Active,Paid In Full,7/28/16,-- None --,-- None --,305-000-0000,01-3125-057-0120,,-- None --,5/1/05,2017,192,"Hotels, apartments, motels, etc. or Commercial, industrial or office space"
7493299,30 - UNIN DADE COUNTY,7209899,1 800 FLOWERS TEAM SERVICES INC,1 800 FLOWERS TEAM SERVICES INC,"7384 NW 35 TERR MIAMI, FL 33122",RET-STR,RETAIL SALES,1 800 FLOWERS TEAM SERVICES INC,7384 NW 35 TERR,,MIAMI,FL,33122,1,Active,Paid In Full,12/16/16,-- None --,-- None --,,,40-298728,"Corporate Documents, Social Security or Federal Employer ID #, TPP Project",10/1/15,2017,214,Retail sales
7100373,30 - UNIN DADE COUNTY,6826763,1 800 LOCK KEY & SAFE INC,1 800 LOCK KEY & SAFE INC,"DOING BUS IN DADE CO MIAMI, FL 33000 ",LOC,LOCKSMITH SERVICE,1 800 LOCK KEY & SAFE INC OFER MASHAL PRES,801 CYPRESS LN,,HALLANDALE,FL,33009,1,Active,Unpaid,,-- None --,-- None --,305-788-0629,,,Mobile Business,6/1/11,2017,213,Service business/multiple service business or Passenger transportation services
7486484,22 - MEDLEY,7203600,1 800 PACK RAT LLC C/O ACCOUNTS PAYABLE,1 800 PACK RAT LLC,"11040 NW 124 ST STE 200 MEDLEY, FL 33166 US",SEL,SELF STORAGE,1 800 PACK RAT LLC C/O ACCOUNTS PAYABLE,11640 NORTHPARK DR #200,,WAKE FOREST,NC,27587,4,Active,Unpaid,,-- None --,-- None --,919-488-3636,22-2030-016-0030,,"Enforcement, Returned Mail",5/12/16,2017,192,"Hotels, apartments, motels, etc. or Commercial, industrial or office space"
7443946,35 - DORAL,7165557,WORLD WIDE AUTO TRADE LLC C/O EDUARDO SILVA MGR,1 800 RADIATORS & A/C,"8820 NW 24 TERR DORAL, FL 33172 ",DLR-WHO,TANGIBLE PERSONAL PROP DLR,WORLD WIDE AUTO TRADE LLC C/O EDUARDO SILVA MGR,8820 NW 24 TERR,,DORAL,FL,33172,10,Active,Paid In Full,8/10/16,-- None --,-- None --,,35-3033-007-0010,,-- None --,1/24/14,2017,220,Dealer in tangible personal property
4445193,35 - DORAL,5480694,1 866 JUNK BE GONE CORP / MIAMI,1 866 JUNK BE GONE CORP / MIAMI,"7925 NW 12 ST 130 DORAL, FL 33126 ",SER-GAR,SERVICE BUSINESS,1 866 JUNK BE GONE CORP / MIAMI JORGE L BUSTAMANTE PRES,7925 NW 12 ST 130,,DORAL,FL,33126,2,Active,Paid In Full,1/9/17,-- None --,-- None --,305-634-2749,35-3034-001-0020,,-- None --,3/1/00,2017,213,Service business/multiple service business or Passenger transportation services
7368426,30 - UNIN DADE COUNTY,7090533,"1 A MAGIC CITY PRODUCTIONS INC C/O YESENIA RODRIGUEZ, PRES",1 A MAGIC CITY PRODUCTIONS INC,"15160 SW 136 ST #4 MIAMI, FL 33196 ",SER-REN,SERVICE BUSINESS,"1 A MAGIC CITY PRODUCTIONS INC C/O YESENIA RODRIGUEZ, PRES",15160 SW 136 ST #4,,MIAMI,FL,33196,1,Active,Paid In Full,8/23/16,-- None --,-- None --,786-209-5764,,,-- None --,1/1/13,2017,213,Service business/multiple service business or Passenger transportation services
7440981,30 - UNIN DADE COUNTY,7162887,1 A MIOS CONTRACTING INC C/O OSMANY FUENTESECA-GONZALEZ PRES,1 A MIOS CONTRACTING INC,OPERATING IN DADE COUNTY   ,SER-LAW,SERVICE BUSINESS,1 A MIOS CONTRACTING INC C/O OSMANY FUENTESECA-GONZALEZ PRES,8453 SW 163 CT,,MIAMI,FL,33193,1,Active,Unpaid,,-- None --,-- None --,904-206-6238,,,Mobile Business,11/14/13,2017,213,Service business/multiple service business or Passenger transportation services
7453399,04 - HIALEAH,7174172,1 CACHE RESTAURANT & CAFETERIA INC C/O JOSEFINA GONZALEZ PRES,1 CACHE RESTAURANT & CAFETERIA INC,"1500 PALM AVE HIALEAH, FL 33010 ",SAM,SERVICE / AMUSEMENT MACHINE,1 CACHE RESTAURANT & CAFETERIA INC C/O JOSEFINA GONZALEZ PRES,1500 PALM AVE,,HIALEAH,FL,33010,4,Active,Unpaid,,-- None --,-- None --,786-452-5427,04-3118-012-1550,,-- None --,8/15/14,2017,221,"Vending, service & amusement machines"
6417018,01 - MIAMI,6153274,1 E 350 XLT SB LLC,1 E 350 XLT SB LLC,"80 SW 8 ST 2000 MIAMI, FL 33130 ",PAS-PMC,PASSENGER TRANSPORTATION SERV,1 E 350 XLT SB LLC,80 SW 8 ST  2000,,MIAMI,FL,33130,1,Active,Paid In Full,8/17/16,-- None --,-- None --,000-000-0000,01-0205-060-1100,,Print Hold:,12/1/07,2017,213,Service business/multiple service business or Passenger transportation services
7489410,35 - DORAL,7206209,1 FLORIDA HEALTH INC C/O ZERIOCHA ZAPATA PRES,1 FLORIDA HEALTH INC,"4001 NW 97 AVE 101B DORAL, FL 33178 ",ASS,P.A./CORP/PARTNERSHIP/FIRM,1 FLORIDA HEALTH INC C/O ZERIOCHA ZAPATA PRES,4001 NW 97 AVE  #101B,,DORAL,FL,33178,2,Active,Paid In Full,9/15/16,-- None --,-- None --,305-436-7988,35-3028-009-0011,,-- None --,8/26/16,2017,212,"Professions, professional associations"
7471068,30 - UNIN DADE COUNTY,7189702,1 FLORIDA REALTY INC C/O ENRIQUE GONZALEZ PRES,1 FLORIDA REALTY INC,"6187 NW 167 ST STE H26 MIAMI, FL 33015 ",REF,REAL ESTATE FIRM,1 FLORIDA REALTY INC C/O ENRIQUE GONZALEZ PRES,P O BOX 171344,,HIALEAH,FL,33017,1,Active,Paid In Full,8/24/16,-- None --,-- None --,305-828-2755,30-2013-023-0660,,-- None --,10/1/15,2017,212,"Professions, professional associations"
7492654,02 - MIAMI BEACH,7209280,1 HOTEL SOUTH BEACH,1 HOTEL SOUTH BEACH,"309 23 ST STE 220 & 230 MIAMI BEACH, FL 33139-1721 ",SER-BUS,SERVICE BUSINESS,1 HOTEL SOUTH BEACH,309 23 ST STE 220 & 230,,MIAMI BEACH,FL,33139-1721,10,Active,Paid In Full,10/11/16,-- None --,-- None --,,,40-287160,"Corporate Documents, Fictitious Name Registration, Social Security or Federal Employer ID #, TPP Project",10/1/15,2017,213,Service business/multiple service business or Passenger transportation services
7038169,01 - MIAMI,6764782,1 KIND HOME INC,1 KIND HOME INC,"911 SW 12 AVE MIAMI, FL 33135 ",ACL,ASSISTED LIVING FACILITY,1 KIND HOME INC KARINA MIRANDA PRES,911 SW 12 AVE,,MIAMI,FL,33130,,Active,Paid In Full,7/25/16,-- None --,-- None --,305-776-4437,01-4111-001-0552,,Home Business,2/1/11,2017,213,Service business/multiple service business or Passenger transportation services
4170890,30 - UNIN DADE COUNTY,3996510,7Q7 CORP,1 MEDICAL,"7362 SW 48 ST MIAMI, FL 33155 ",DLR-WHO,TANGIBLE PERSONAL PROP DLR,7Q7 CORP CARLOS G BEN PRES,7362 SW 48 ST,,MIAMI,FL,33155,3,Active,Paid In Full,9/30/16,-- None --,-- None --,305-663-7132,30-4023-000-0334,,-- None --,10/1/98,2017,220,Dealer in tangible personal property
7487840,04 - HIALEAH,7204843,"1 MISTER 305 PARTY RENTALS LLC C/O CORTINA, CARLOS R",1 MISTER 305 PARTY RENTALS LLC,"1657 W 40 ST HIALEAH, FL 33012 ",SER-PTY,SERVICE BUSINESS,"1 MISTER 305 PARTY RENTALS LLC C/O CORTINA, CARLOS R",1657 W 40 ST,,HIALEAH,FL,33012,1,Active,Paid In Full,7/26/16,-- None --,-- None --,305-512-7627,04-3002-109-0060,,-- None --,5/24/16,2017,213,Service business/multiple service business or Passenger transportation services
5038070,88 - COMMERCIAL LESSORS,4826534,1 NE 167 LLC,1 NE 167 LLC,MUNICIPALITIES LOC   ,LES,COMMERCL/INDUST/OFFICE SPACE,1 NE 167 LLC,1 NE 167 ST,,NORTH MIAMI BEACH,FL,33162,6772,Active,Unpaid,,-- None --,-- None --,,07-2113-007-1830,,-- None --,5/1/02,2017,192,"Hotels, apartments, motels, etc. or Commercial, industrial or office space"
7481334,30 - UNIN DADE COUNTY,7198862,1 OF 1 BEAUTY BAR LLC C/O ALEXIS K FARQUHARSON MGR,1 OF 1 BEAUTY BAR LLC,"29345 SW 152 AVE MIAMI, FL 33033 ",BTY,BARBER / BEAUTY SHOP /SERVICE,1 OF 1 BEAUTY BAR LLC C/O ALEXIS K FARQUHARSON MGR,PO BOX 349294,,HOMESTEAD,FL,33034,1,Active,Unpaid,,-- None --,-- None --,470-262-9465,30-7904-005-3330,,Returned Mail,4/1/16,2017,213,Service business/multiple service business or Passenger transportation services
5046073,01 - MIAMI,4834678,1 OF A KIND JEWELRY OF FLA INC,1 OF A KIND JEWELRY DESIGNS,"1 NE 1 ST 18 MIAMI, FL 33132 ",DLR-WHO,TANGIBLE PERSONAL PROP DLR,1 OF A KIND JEWELRY OF FLA INC SAMIR RACHED MGR,1 NE 1 ST  #18,,MIAMI,FL,33132,1,Active,Unpaid,,-- None --,-- None --,305-358-7031,01-0110-050-1060,,"Enforcement, Returned Mail",1/1/02,2017,220,Dealer in tangible personal property
7332653,30 - UNIN DADE COUNTY,7055163,1 ON 1 ADDICTIONS COUNSELING,1 ON 1 ADDICTIONS COUNSELING FOR ATHLETES INC,"8976 SW 207 ST MIAMI, FL 33189 ",CON,CONSULTANT,1 ON 1 ADDICTIONS COUNSELING SARAH GREER PRES,8976 SW 207 ST,,CUTLER BAY,FL,33189,,Active,Paid In Full,7/13/16,-- None --,-- None --,000-0000,30-6009-030-0780,,-- None --,10/1/12,2017,212,"Professions, professional associations"
7497908,01 - MIAMI,7214089,1 ON 1 REAL ESTATE LLC,1 ON 1 REAL ESTATE LLC,"441 SW 8 ST MIAMI, FL 33130-2813",RBO,REAL ESTATE BRANCH OFFICE,1 ON 1 REAL ESTATE LLC,441 SW 8 ST,,MIAMI,FL,33130-2813,5,Active,Paid In Full,1/11/17,-- None --,-- None --,,,40-273026,TPP Project,10/1/15,2017,212,"Professions, professional associations"
7395197,10 - HOMESTEAD,7117609,1 ON 1 RELIABLE CREDIT REPAIR INC,1 ON 1 RELIABLE CREDIT REPAIR INC,"21 NW 8 ST HOMESTEAD, FL 33030 ",SER-BUS,SERVICE BUSINESS,1 ON 1 RELIABLE CREDIT REPAIR INC KAREN CONCEPCION PRES,4120 NE 30 ST,,HOMESTEAD,FL,33033,1,Active,Unpaid,,-- None --,-- None --,000-0000,10-7813-001-0050,,"Enforcement, Returned Mail",3/1/13,2017,213,Service business/multiple service business or Passenger transportation services
7443638,30 - UNIN DADE COUNTY,7165281,1 POOL SPA SERVICE OF SOUTH FLORIDA INC C/O ELOY A ALONSO FRADERAS,1 POOL SPA SERVICE OF SOUTH FLORIDA INC,OPERATING IN DADE COUNTY   ,SER-CLM,SERVICE BUSINESS,1 POOL SPA SERVICE OF SOUTH FLORIDA INC C/O ELOY A ALONSO FRADERAS,11820 WALSH BLVD,,MIAMI,FL,33184,1,Active,Paid In Full,7/24/16,-- None --,-- None --,786-328-3856,,,-- None --,1/17/14,2017,213,Service business/multiple service business or Passenger transportation services
7405640,04 - HIALEAH,7128432,1 QUICK ALUMINUM & IRON WORK INC C/O JOSE V BERARDINELLI PRES,1 QUICK ALUMINUM & IRON WORK INC,"1059 E 41 ST HIALEAH, FL 33013 ",BLDGS,SPECIALTY BUILDING CONTRACTOR,1 QUICK ALUMINUM & IRON WORK INC C/O JOSE V BERARDINELLI PRES,1059 E 41 ST,,HIALEAH,FL,33013,1,Active,Paid In Full,9/21/16,-- None --,-- None --,786-346-0051,,,-- None --,2/1/13,2017,196,Contracting
7492710,04 - HIALEAH,7128432,1 QUICK ALUMINUM & IRON WORK INC C/O JOSE V BERARDINELLI PRES,1 QUICK ALUMINUM & IRON WORK INC,"1059 E 41 ST HIALEAH, FL 33013 ",MC-BLDGS,SPECIALTY BUILDING CONTRACTOR,1 QUICK ALUMINUM & IRON WORK INC C/O JOSE V BERARDINELLI PRES,1059 E 41 ST,,HIALEAH,FL,33013,1,Active,Paid In Full,9/21/16,-- None --,-- None --,786-346-0051,,,-- None --,2/1/13,2017,MMC,Multi-Municipal Contractor
5560454,35 - DORAL,5323126,1 QUICK LOCKSMITH INC MONICA OCHOA,1 QUICK LOCKSMITH INC,"6966 NW 116 CT DORAL, FL 33178 ",LOC,LOCKSMITH SERVICE,1 QUICK LOCKSMITH INC MONICA OCHOA,6966 NW 116 CT,,DORAL,FL,33178,1,Active,Paid In Full,9/21/16,-- None --,-- None --,786-346-5500,,,Home Business,5/1/04,2017,213,Service business/multiple service business or Passenger transportation services
