Year,Business Name,Owner Name,Business Address,Business Phone,Account Status,Business Start Date,Business Type,Category Code,Category Name,Class Code,Class Name,Business Description
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"3801 HOLLYWOOD BLVD HOLLYWOOD, FL 33021 USA",954-967-3200,Active,7/23/90,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-102-08,"1745 E SUNRISE BLVD FORT LAUDERDALE, FL 33304 USA",,Active,10/26/92,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-102-08,"4803 COCONUT CRK PKWY OP/F POMPANO BEACH, FL 33063 USA",954-979-6804,Active,9/8/94,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"7001 N UNIVERSITY DR FORT LAUDERDALE, FL 33321 USA",954-722-0200,Active,9/8/94,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"3600 N FEDERAL HWY FORT LAUDERDALE, FL 33308 USA",954-566-9705,Active,9/8/94,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"8181 W BROWARD BLVD FORT LAUDERDALE, FL 33324 USA",954-473-2666,Active,9/8/94,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"16350 PINES BLVD HOLLYWOOD, FL 33027 USA",954-437-4112,Active,11/6/95,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,BANK OF AMERICA NA #109500,"8398 PINES BLVD HOLLYWOOD, FL 33024 USA",,Active,10/3/98,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"18291 PINES BLVD HOLLYWOOD, FL 33029 USA",,Active,11/1/98,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,BANK OF AMERICA NA #109495,"3030 DAVIE BLVD FORT LAUDERDALE, FL 33312 USA",954-316-1685,Active,11/1/98,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"2335 E ATLANTIC BLVD POMPANO BEACH, FL 33062 USA",954-786-8017,Active,10/1/98,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,BANK OF AMERICA NA #109498,"1333 S UNIVERSITY DR FORT LAUDERDALE, FL 33324 USA",,Active,10/1/98,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"80 FLAMINGO RD HOLLYWOOD, FL 33026 USA",954-433-0483,Active,10/1/98,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"2903 STIRLING RD DANIA, FL 33004 USA",,Active,10/1/98,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"12381 W SUNRISE BLVD FORT LAUDERDALE, FL 33323 USA",954-915-0940,Active,10/1/98,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"15891 SHERIDAN ST DAVIE, FL 33331 USA",954-252-0551,Active,4/13/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"11150 TAFT ST HOLLYWOOD, FL 33026 USA",954-432-0304,Active,9/19/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"21 S POMPANO PKWY POMPANO BEACH, FL 33069 USA",954-973-0700,Active,9/19/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARENY FL2-002-02-08 NW OP ADM WA1-501-10-102-08,"150 NE 44 ST FORT LAUDERDALE, FL 33334 USA",954-566-8452,Active,9/19/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,WA1-501-10-10 BANK OF AMERICA NA #109837,"1601 E OAKLAND PK BLVD FORT LAUDERDALE, FL 33334 USA",954-568-4392,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"6100 N FEDERAL HWY FORT LAUDERDALE, FL 33308 USA",954-351-0432,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"3200 N UNIVERSITY DR POMPANO BEACH, FL 33065 USA",954-753-5436,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,WA1-501-10-10 BANK OF AMERICA NA #109519,"3311 W HILLSBORO BLVD DEERFIELD BEACH, FL 33441 USA",954-428-2400,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"801 E HALLANDALE BCH BLVD HALLANDALE, FL 33009 USA",,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"901 S STATE RD 7 100 HOLLYWOOD, FL 33023 USA",954-965-0970,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"5504 S FLAMINGO RD FORT LAUDERDALE, FL 33330 USA",954-434-0740,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"3800 W BROWARD BLVD FORT LAUDERDALE, FL 33312 USA",954-797-3900,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"5590 W SAMPLE RD POMPANO BEACH, FL 33073 USA",954-974-9088,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"4901 N FEDERAL HWY FORT LAUDERDALE, FL 33334 USA",954-765-2287,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-102-08,"101 S OCEAN BLVD POMPANO BEACH, FL 33060 USA",,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-102-08,"900 W SAMPLE RD POMPANO BEACH, FL 33064 USA",954-786-7135,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"8200 N UNIVERSITY DR FORT LAUDERDALE, FL 33321 USA",954-718-6242,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,BANK OF AMERICA NA #109496,"8800 W OAKLAND PK BLVD FORT LAUDERDALE, FL 33351 USA",954-742-7441,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"4400 INVERRARY BLVD B FORT LAUDERDALE, FL 33319 USA",954-485-5100,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-102-08,"550 MAIN BLVD POMPANO BEACH, FL 33063 USA",954-974-6992,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"1401 UNIVERSITY DR POMPANO BEACH, FL 33071 USA",954-341-0004,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"7001 W BROWARD BLVD FORT LAUDERDALE, FL 33317 USA",,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"1900 TYLER ST HOLLYWOOD, FL 33020 USA",,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"888 NW 62 ST FORT LAUDERDALE, FL 33309 USA",954-928-1974,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-102-08,"1000 S FEDERAL HWY DEERFIELD BEACH, FL 33441 USA",,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"6300 STIRLING RD FORT LAUDERDALE, FL 33314 USA",954-986-4727,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"2655 N 60 AVE HOLLYWOOD, FL 33021 USA",,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"4601 SHERIDAN ST HOLLYWOOD, FL 33021 USA",954-963-4610,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"2850 N FEDERAL HWY POMPANO BEACH, FL 33064 USA",954-784-2973,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-102-08,"4012 N OCEAN BLVD FORT LAUDERDALE, FL 33308 USA",954-561-9403,Active,9/20/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"1795 BONAVENTURE BLVD FORT LAUDERDALE, FL 33326 USA",954-389-3550,Active,5/21/01,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW OP ADM WA1-501-10-10,"6101 CORAL RIDGE DR POMPANO BEACH, FL 33067 USA",,Active,2/19/02,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,WA1-501-10-10 BANK OF AMERICA NA,"2300 E SUNRISE BLVD FORT LAUDERDALE, FL 33304-0000 USA",954-567-5501,Active,7/18/08,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA,C/O L CARNEY FL2-002-02-08 NW,"1470 CORAL RIDGE DR POMPANO BEACH, FL 33071 USA",954-757-4062,Active,5/15/08,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA #2707,WA1-501-10-10 BANK OF AMERICA NA #2707,"6650 N STATE RD 7 POMPANO BEACH, FL 33073 USA",954-570-3666,Active,3/7/94,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANK OF AMERICA NA #5890,WA1-501-10-10 BANK OF AMERICA NA #5890,"401 E LAS OLAS BLVD G1 FORT LAUDERDALE, FL 33301 USA",,Active,10/18/02,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BANKUNITED,LETI SOLIS,"808 SE 17 ST FORT LAUDERDALE, FL 33316 ",305-818-8510,Active,8/27/12,Corporation,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BB & T,BRANCH BANKING & TRUST CO,"450 N PINE ISLAND RD PLANTATION, FL 33324 USA",954-523-3401,Active,10/1/85,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BB & T,BB & T,"3696 N FEDERAL HWY FORT LAUDERDALE, FL 33308 USA",305-523-3401,Active,3/1/96,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BB & T,BRANCH BANKING & TRUST CO,"900 SE 17 ST FORT LAUDERDALE, FL 33316 USA",,Active,1/24/08,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BB& T,BRANCH BANKING & TRUST CO,"2434 HOLLYWOOD BLVD HOLLYWOOD, FL 33020 USA",954-920-2265,Active,10/31/80,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BB& T,BRANCH BANKING & TRUST CO,"110 E BROWARD BLVD FLOORS 1 & 21 FORT LAUDERDALE, FL 33301 USA",954-462-6093,Active,6/12/84,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BB& T,BRANCH BANKING & TRUST CO,"1451 NW 62 ST FORT LAUDERDALE, FL 33309 USA",954-514-1810,Active,2/17/88,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BB& T,BRANCH BANKING & TRUST CO,"1448 E HALLANDALE BCH BLVD HALLANDALE, FL 33009 USA",334-676-5944,Active,1/12/95,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BB& T,BRANCH BANKING & TRUST CO,"1999 UNIVERSITY DR 100 CORAL SPRINGS, FL 33071 USA",,Active,1/12/95,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BB& T,BRANCH BANKING & TRUST CO,"300 E SAMPLE RD POMPANO BEACH, FL 33064 USA",,Active,1/12/95,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BB& T,BRANCH BANKING & TRUST CO,"4763 N OCEAN DR FORT LAUDERDALE, FL 33308 USA",954-785-4182,Active,7/1/98,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BB& T,BRANCH BANKING & TRUST CO,"9600 W SAMPLE RD CORAL SPRINGS, FL 33065 USA",954-523-3401,Active,9/17/99,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BB& T,BRANCH BANKING & TRUST CO,"101 N FEDERAL HWY DEERFIELD BEACH, FL 33441 USA",954-523-3401,Active,3/30/99,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BB& T,BRANCH BANKING & TRUST CO,"3850 HOLLYWOOD BLVD HOLLYWOOD, FL 33021 USA",954-523-3401,Active,11/19/01,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BB& T,BRANCH BANKING & TRUST CO,"2 S UNIVERSITY DR 100 PLANTATION, FL 33324 USA",954-423-5155,Active,8/28/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BB& T,BRANCH BANKING & TRUST CO,"10500 MIRAMAR PKWY MIRAMAR, FL 33025 USA",954-523-3401,Active,12/18/00,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BB& T,BRANCH BANKING & TRUST CO,"1580 SAWGRASS CORP PKWY 310 SUNRISE, FL 33323 USA",334-676-5944,Active,10/11/02,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BB& T,BRANCH BANKING & TRUST CO,"1580 SAWGRASS CORP PKWY 120 SUNRISE, FL 33323 USA",954-523-3401,Active,1/23/03,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BB& T,BRANCH BANKING & TRUST CO,"6400 N FEDERAL HWY FORT LAUDERDALE, FL 33309 USA",954-514-1810,Active,9/24/07,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BRANCH BANKING & TRUST,ATTN NANCY WEEDEN,"1834 W HILLSBOROUGH BLVD DEERFIELD BEACH, FL 33442 USA",954-421-2495,Active,1/1/99,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BRANCH BANKING & TRUST COMPANY,DIANE FORSYTH / NANCY WEEDEN,"4651 SHERIDAN ST HOLLYWOOD, FL 33021 USA",954-442-2155,Active,11/1/98,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BRANCH BANKING & TRUST COMPANY,ATTN DIANE FORSYTH,"13636 STATE RD 84 FORT LAUDERDALE, FL 33325 USA",954-577-0781,Active,1/25/99,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BROWARD BANK OF COMMERCE,KEITH P COSTELLO,"101 NE 3 AVE FORT LAUDERDALE, FL 33301 USA",954-769-9920,Active,10/10/08,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,BROWARD BANK OF COMMERCE,KEITH COSTELLO,"2601 E OAKLAND PARK BLVD #102 FORT LAUDERDALE, FL 33306 USA",954-761-4900,Active,9/14/12,Corporation,403,BANKS,40,MISCELLANEOUS,BANKS
2012,CAPITAL BANK,CAPITAL BANK,"4820 N FEDERAL HWY POMPANO BEACH, FL 33064 USA",954-725-9009,Active,1/5/98,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,CAPITAL BANK,CAPITAL BANK,"4699 N NOB HILL RD SUNRISE, FL 33351-4725 ",,Active,3/25/02,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,CITIBANK,PORRAS ORESTES J / CITIBANK FSB,"1636 TOWN CENTER CR FORT LAUDERDALE, FL 33326 USA",954-384-2083,Active,3/1/06,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,CITIBANK (FLORIDA) N A,CITIBANK FSB,"4807 COCONUT CREEK PKWY POMPANO BEACH, FL 33063 USA",954-975-7211,Active,8/20/84,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,CITIBANK (FLORIDA) N A,CITIBANK (FLORIDA) N A CITIBANK FSB,"255 E DANIA BEACH BLVD DANIA, FL 33004 USA",954-925-2211,Active,7/16/93,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,CITIBANK (FLORIDA) N A,CITIBANK FSB,"500 E BROWARD BLVD FORT LAUDERDALE, FL 33301 USA",954-527-5545,Active,10/19/95,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,CITIBANK FSB,GARCIA VELEZ CALIXTO / CITIBANK FSB,"8411 PINES BLVD HOLLYWOOD, FL 33024 USA",954-322-3587,Active,10/23/03,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,CITIBANK FSB,GARCIA VELEZ CALIXTO / CITIBANK FSB,"18395 PINES BLVD HOLLYWOOD, FL 33026 USA",954-322-2194,Active,8/14/03,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,CITIBANK FSB,CITIBANK FSB,"3101 N FEDERAL HWY FORT LAUDERDALE, FL 33306 USA",954-567-8320,Active,2/22/06,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,CITIBANK N A,CITIBANK,"16101 MIRAMAR PKWY HOLLYWOOD, FL 33027 USA",,Active,12/5/07,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,CITIBANK NA,ORESTES J PORRAS BRANCH MANAGER,"1290 WESTON ROAD WESTON, FL 33326 USA",954-375-3909,Active,5/24/11,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,CITY NATIONAL BANK,CITY NATIONAL BANK JORGE GONZALEZ,"9750 W ATLANTIC BLVD CORAL SPRINGS, FL 33071 USA",305-577-7366,Active,1/19/11,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,CITY NATIONAL BANK OF FLORIDA,CITY NATIONAL BANK OF FLORIDA,"1995 E HALLANDALE BCH BLVD HALLANDALE, FL 33009 USA",454-5000,Active,7/16/93,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,CITY NATIONAL BANK OF FLORIDA,CITY NATIONAL BANK OF FLORIDA,"350 LAS OLAS BLVD 1130 FORT LAUDERDALE, FL 33311 USA",954-765-5629,Active,3/26/07,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,CNL BANK,MICHAEL C COLLINS,"888 E LAS OLAS BLVD 710 FORT LAUDERDALE, FL 33301 USA",407-244-3100,Active,2/20/09,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,COMERICA BANK,COMERICA BANK,"100 NE 3 AVE 100 FORT LAUDERDALE, FL 33301 USA",954-468-0607,Active,11/1/85,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,COMMMUNITY BANK OF BROWARD,BRUCE KEIR,"2929 E COMMERCIAL BLVD 101 FORT LAUDERDALE, FL 33308 USA",954-351-2265,Active,2/26/03,,403,BANKS,40,MISCELLANEOUS,BANKS
2012,COMMUNITY BANK OF BROWARD,BRUCE KEIR,"1220 S STATE RD 7 HOLLYWOOD, FL 33023 USA",,Active,2/27/02,,403,BANKS,40,MISCELLANEOUS,BANKS
