Receipt #,Account #,Physical Business Location,Business Name,Business Address,Mailing Address,Category Code,Category Name,Number of Units,Account Status,Balance Status,Exemption Description,Business Phone,Business Email,Custom Flags,Business Start Date,Year,Class Code,Class Name
7465129,7184390,20 - PINECREST,*1 ALADDIN PARTY RENTAL INC,"9703 S DIXIE HWY 204G PINECREST, FL 33156 US","9703 S DIXIE HWY 204G PINECREST, FL 33156 US",SER-REN,SERVICE BUSINESS,1,Active,Unpaid,-- None --,305-305-7486,,-- None --,4/16/15,2017,213,Service business/multiple service business or Passenger transportation services
6585450,6319016,30 - UNIN DADE COUNTY,#NAME?,"8020 CORAL WAY MIAMI, FL 33155 ","8020 CORAL WAY MIAMI, FL 33155 ",ASS,P.A./CORP/PARTNERSHIP/FIRM,2,Active,Paid In Full,-- None --,786-517-6127,,-- None --,10/1/08,2017,212,"Professions, professional associations"
785585,6364947,01 - MIAMI,0 18 LLC,"201 NW 47 AVE MIAMI, FL 33126 ","8798 SW 8 ST MIAMI, FL 33174 ",APT,APARTMENTS,12,Active,Paid In Full,-- None --,305-000-0000,,-- None --,1/23/09,2017,192,"Hotels, apartments, motels, etc. or Commercial, industrial or office space"
7455270,7175672,30 - UNIN DADE COUNTY,0-STRESS MEDICAL HEALTH CARE CENTER INC,"8824 SW 24 ST MIAMI, FL 33165 ","8824 SW 24 ST MIAMI, FL 33165 ",ASS,P.A./CORP/PARTNERSHIP/FIRM,5,Active,Unpaid,-- None --,,,-- None --,9/24/14,2017,212,"Professions, professional associations"
6323984,6062186,27 - HIALEAH GARDENS,004 INC,"8726 NW 119 ST BAY8 HIALEAH GARDENS, FL 33016 ","8726 NW 119 ST BAY8 HIALEAH GARDENS, FL 33016 ",RET-STR,RETAIL SALES,1,Active,Paid In Full,-- None --,305-821-9484,,-- None --,7/1/07,2017,214,Retail sales
6326367,6062186,27 - HIALEAH GARDENS,004 INC,"8726 NW 119 ST BAY8 HIALEAH GARDENS, FL 33016 ","8726 NW 119 ST BAY8 HIALEAH GARDENS, FL 33016 ",DLR-WHO,TANGIBLE PERSONAL PROP DLR,1,Active,Paid In Full,-- None --,305-821-9484,,-- None --,7/1/07,2017,220,Dealer in tangible personal property
7176977,6901293,01 - MIAMI,004 INC,"2412 N MIAMI AVE MIAMI, FL 33137 ","2412 N MIAMI AVE MIAMI, FL 33137 ",DLR-ANT,TANGIBLE PERSONAL PROP DLR,1,Active,Paid In Full,-- None --,305-849-8585,,-- None --,11/1/11,2017,220,Dealer in tangible personal property
5956959,5711685,04 - HIALEAH,011 CONEXION CORP INC,"1175 W 29 ST HIALEAH, FL 33012 ","10107 W OKEECHOBEE RD HIALEAH, FL 33016 ",RET-STR,RETAIL SALES,3,Active,Paid In Full,-- None --,786-382-6626,,-- None --,1/1/06,2017,214,Retail sales
7037948,5711685,04 - HIALEAH,011 CONEXION CORP INC,"1175 W 29 ST HIALEAH, FL 33012 ","10107 W OKEECHOBEE RD HIALEAH, FL 33016 ",TRA,SELLER OF TRAVEL,2,Active,Paid In Full,-- None --,786-382-6626,,-- None --,1/1/06,2017,220,Dealer in tangible personal property
5956942,5711685,04 - HIALEAH,011 CONEXION CORP INC,"1175 W 29 ST HIALEAH, FL 33012 ","10107 W OKEECHOBEE RD HIALEAH, FL 33016 ",COM-LON,COMMUNICATION BUSINESS,,Active,Paid In Full,-- None --,786-382-6626,,-- None --,1/1/06,2017,217,Local exchange telecommunication company or Communication businesses
4926169,4717477,88 - COMMERCIAL LESSORS,RAMA OF MIAMI INC,"MUNICIPALITIES LOC COMMERCIAL LESSORS, FL 33888 ","2482 SW 137 AVE MIAMI, FL 33175 ",LES,COMMERCL/INDUST/OFFICE SPACE,632,Active,Paid In Full,-- None --,305-000-0000,ROBERT.SACASA@GMAIL.COM,-- None --,4/1/02,2017,192,"Hotels, apartments, motels, etc. or Commercial, industrial or office space"
4979150,4769361,88 - COMMERCIAL LESSORS,RAMA OF MIAMI INC,MUNICIPALITIES LOC   ,"2482 SW 137 AVE MIAMI, FL 33175 ",LES,COMMERCL/INDUST/OFFICE SPACE,18782,Active,Paid In Full,-- None --,954-345-9663,,-- None --,4/1/02,2017,192,"Hotels, apartments, motels, etc. or Commercial, industrial or office space"
7504122,7219771,30 - UNIN DADE COUNTY,RAMA USA LLC,"8440 NW 64 ST UNIT 1 MIAMI, FL 33166","6650 SW 57 AVE #C502 SOUTH MIAMI, FL 33143",DLR-WHO,TANGIBLE PERSONAL PROP DLR,1,Active,Paid In Full,-- None --,786-569-9270,RAMAUSALLC@GMAIL.COM,-- None --,2/22/17,2017,220,Dealer in tangible personal property
2400794,2283554,16 - FLORIDA CITY,RAMADA INN FLORIDA CITY,"124 E PALM DR FLORIDA CITY, FL 33034 ","124 E PALM DR FLORIDA CITY, FL 33034 ",HOT,HOTEL/MOTEL/ BOARDING HOUSE,117,Active,Paid In Full,-- None --,305-247-8833,,-- None --,4/1/90,2017,192,"Hotels, apartments, motels, etc. or Commercial, industrial or office space"
312629,6792221,04 - HIALEAH,RAMADA MIAMI AIRPORT,"1950 W 49 ST HIALEAH, FL 33012 ","1950 W 49 ST HIALEAH, FL 33012 ",HOT,HOTEL/MOTEL/ BOARDING HOUSE,255,Active,Paid In Full,-- None --,305-823-2000,,-- None --,4/5/11,2017,192,"Hotels, apartments, motels, etc. or Commercial, industrial or office space"
1957571,6792221,04 - HIALEAH,RAMADA MIAMI AIRPORT,"1950 W 49 ST HIALEAH, FL 33012 ","1950 W 49 ST HIALEAH, FL 33012 ",EAT,EATING ESTABLISHMENT,150,Active,Paid In Full,-- None --,305-823-2000,,-- None --,4/5/11,2017,195,Eating establishments or Catering businesses
1957597,6792221,04 - HIALEAH,RAMADA MIAMI AIRPORT,"1950 W 49 ST HIALEAH, FL 33012 ","1950 W 49 ST HIALEAH, FL 33012 ",DAE,DANCING OR ENTERTAINMENT,4,Active,Paid In Full,-- None --,305-823-2000,AFRIEDMAN@1800PACKRAT.COM,-- None --,4/5/11,2017,197,"Dancing or entertainment, etc."
2203123,6792221,04 - HIALEAH,RAMADA MIAMI AIRPORT,"1950 W 49 ST HIALEAH, FL 33012 ","1950 W 49 ST HIALEAH, FL 33012 ",HAL,HALL FOR HIRE,10,Active,Paid In Full,-- None --,305-823-2000,,-- None --,4/5/11,2017,192,"Hotels, apartments, motels, etc. or Commercial, industrial or office space"
1955674,2107118,31 - SUNNY ISLES BEACH,RAMADA PLAZA MARCO POLO BEACH RESORT,"19201 COLLINS AVE SUNNY ISLES BEACH, FL 33160 ","19201 COLLINS AVE MIAMI BEACH, FL 33160 ",SER-VAL,SERVICE BUSINESS,10,Active,Paid In Full,-- None --,305-932-2233,,-- None --,10/1/89,2017,213,Service business/multiple service business or Passenger transportation services
2216257,2107118,31 - SUNNY ISLES BEACH,RAMADA PLAZA MARCO POLO BEACH RESORT,"19201 COLLINS AVE SUNNY ISLES BEACH, FL 33160 ","19201 COLLINS AVE MIAMI BEACH, FL 33160 ",HOT,HOTEL/MOTEL/ BOARDING HOUSE,502,Active,Paid In Full,-- None --,305-932-2233,,-- None --,10/1/89,2017,192,"Hotels, apartments, motels, etc. or Commercial, industrial or office space"
1980524,719485,31 - SUNNY ISLES BEACH,RAMADA PLAZA OCEAN TERRACE,"19201 COLLINS AVE SUNNY ISLES BEACH, FL 33160 ","19201 COLLINS AVE MIAMI BEACH, FL 33160 ",EAT,EATING ESTABLISHMENT,698,Active,Paid In Full,-- None --,305-932-2233,,-- None --,8/24/88,2017,195,Eating establishments or Catering businesses
1980532,719485,31 - SUNNY ISLES BEACH,RAMADA PLAZA OCEAN TERRACE,"19201 COLLINS AVE SUNNY ISLES BEACH, FL 33160 ","19201 COLLINS AVE MIAMI BEACH, FL 33160 ",DAE,DANCING OR ENTERTAINMENT,1,Active,Paid In Full,-- None --,305-932-2233,,-- None --,8/24/88,2017,197,"Dancing or entertainment, etc."
7494434,7210933,30 - UNIN DADE COUNTY,RAMAIR AIRCRAFT MAINTENANCE LLC,"14299 SW 127 ST STE 101-6 MIAMI, FL 33186","10401 S 162 TER MIAMI, FL 33157",SER-SNR,SERVICE BUSINESS,2,Active,Paid In Full,-- None --,305-989-4081,ZERIZAPATA@GMAIL.COM,-- None --,10/1/16,2017,213,Service business/multiple service business or Passenger transportation services
1803783,1803783,30 - UNIN DADE COUNTY,RAMALCO CORP,"7882 W FLAGLER ST MIAMI, FL 33144 ","7882 W FLAGLER ST MIAMI, FL 33144 ",SER-BKK,SERVICE BUSINESS,5,Active,Paid In Full,-- None --,305-266-6140,EGONZALEZ21@YAHOO.COM,-- None --,8/24/88,2017,213,Service business/multiple service business or Passenger transportation services
7436933,7159612,25 - SWEETWATER,RAMALEX ELECTRICAL CONTRACTORS INC,"11351 SW 1 ST APT 305 MIAMI, FL 33174 ","11351 SW 1 ST APT 305 MIAMI, FL 33174 ",ELEC,ELECTRICAL CONTRACTOR,1,Active,Paid In Full,-- None --,786-329-0101,,-- None --,9/9/13,2017,196,Contracting
7495652,7159612,25 - SWEETWATER,RAMALEX ELECTRICAL CONTRACTORS INC,"11351 SW 1 ST APT 305 MIAMI, FL 33174 ","11351 SW 1 ST APT 305 MIAMI, FL 33174 ",CGA-ELEC,ELECTRICAL CONTRACTOR,1,Active,Paid In Full,-- None --,786-329-0101,,-- None --,9/9/13,2017,RMC,Restricted Municipal Contracting
7478776,7196484,30 - UNIN DADE COUNTY,RAMAR SUPPLIERS INC,"15130 SW 119 WAY MIAMI, FL 33196 USA","15130 SW 119 WAY MIAMI, FL 33196 USA",DLR-SAL,TANGIBLE PERSONAL PROP DLR,2,Active,Paid In Full,-- None --,786-307-0337,,Home Business,1/25/16,2017,220,Dealer in tangible personal property
